wl,B1,B2,B3,B4,B5
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,0,0,0
324,0,0,0,0,0
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,0
328,0,0,0,0,0
329,0,0,0,0,0
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,0,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,0
372,0,0,0,0,0
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,0,0,0
376,0,0,0,0,0
377,0,0,0,0,0
378,0,0,0,0,0
379,0,0,0,0,0
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0,0,0
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,0
416,0,0,0,0,0
417,0,0,0,0,0
418,0,0,0,0,0
419,0,0,0,0,0
420,0,0,0,0,0
421,0,0,0,0,0
422,0,0,0,0,0
423,0,0,0,0,0
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,0,0,0
427,7.3E-05,0,0,0,0
428,0.000609,0,0,0,0
429,0.001628,0,0,0,0
430,0.003421,0,0,0,0
431,0.008019,0,0,0,0
432,0.024767,0,0,0,0
433,0.085688,0,0,0,0
434,0.254149,0,0,0,0
435,0.517821,0,0,0,0
436,0.765117,1E-05,0,0,0
437,0.908749,6.1E-05,0,0,0
438,0.958204,0.000117,0,0,0
439,0.977393,0.000241,0,0,0
440,0.98379,0.000349,0,0,0
441,0.989052,0.000455,0,0,0
442,0.986713,0.000756,0,0,0
443,0.993683,0.001197,0,0,0
444,0.993137,0.00207,0,0,0
445,1,0.003712,0,0,0
446,0.996969,0.006869,0,0,0
447,0.98278,0.013212,0,0,0
448,0.972692,0.02717,0,0,0
449,0.905808,0.058606,0,0,0
450,0.745606,0.130876,0,0,0
451,0.471329,0.27137,0,0,0
452,0.226412,0.493542,0,0,0
453,0.09286,0.723971,0,0,0
454,0.036603,0.85751,0,0,0
455,0.014537,0.894222,0,0,0
456,0.005829,0.903034,0,0,0
457,0.002414,0.910928,0,0,0
458,0.000984,0.90988,0,0,0
459,0.000255,0.899475,0,0,0
460,0,0.897977,0,0,0
461,0,0.889667,0,0,0
462,0,0.883542,0,0,0
463,0,0.877453,0,0,0
464,0,0.881011,0,0,0
465,0,0.874721,0,0,0
466,0,0.879688,0,0,0
467,0,0.886569,0,0,0
468,0,0.891913,0,0,0
469,0,0.88768,0,0,0
470,0,0.861157,0,0,0
471,0,0.848533,0,0,0
472,0,0.840828,0,0,0
473,0,0.828339,0,0,0
474,0,0.844202,0,0,0
475,0,0.865864,0,0,0
476,0,0.868497,0,0,0
477,0,0.890253,0,0,0
478,0,0.912538,0,0,0
479,0,0.910385,0,0,0
480,0,0.918822,0,0,0
481,0,0.931726,0,0,0
482,0,0.931813,0,0,0
483,0,0.954248,0,0,0
484,0,0.955545,0,0,0
485,0,0.96242,0,0,0
486,0,0.956424,0,0,0
487,0,0.953352,0,0,0
488,0,0.978564,0,0,0
489,0,0.989104,0,0,0
490,0,0.985615,0,0,0
491,0,0.989469,0,0,0
492,0,0.982262,0,0,0
493,0,0.968801,0,0,0
494,0,0.967332,0,0,0
495,0,0.976836,0,0,0
496,0,0.988729,0,0,0
497,0,0.980826,0,0,0
498,0,0.967361,0,0,0
499,0,0.954754,0,0,0
500,0,0.964132,0,0,0
501,0,0.966125,0,0,0
502,0,0.966772,0,0,0
503,0,0.981834,0,0,0
504,0,0.98232,0,0,0
505,0,0.965685,0,0,0
506,0,0.963135,0,0,0
507,0,0.972261,0,0,0
508,0,0.996498,0,0,0
509,0,1,0,0,0
510,0,0.9556,0,0,0
511,0,0.844893,0,0,0
512,0,0.534592,-4.6E-05,0,0
513,0,0.190738,1.6E-05,0,0
514,0,0.048329,0.00011,0,0
515,0,0.013894,0.000247,0,0
516,0,0.005328,0.000362,0,0
517,0,0.002611,0.000648,0,0
518,0,0.001557,0.000935,0,0
519,0,0.0011,0.001332,0,0
520,0,0.000785,0.001816,0,0
521,0,0.000516,0.002515,0,0
522,0,0.000321,0.003446,0,0
523,0,0.000162,0.00488,0,0
524,0,7.2E-05,0.007024,0,0
525,0,5.7E-05,0.010441,0,0
526,0,2.3E-05,0.016247,0,0
527,0,3.2E-05,0.025513,0,0
528,0,-1.6E-05,0.041451,0,0
529,0,0,0.070551,0,0
530,0,0,0.123444,0,0
531,0,0,0.21168,0,0
532,0,0,0.353885,0,0
533,0,0,0.545856,0,0
534,0,0,0.741205,0,0
535,0,0,0.865225,0,0
536,0,0,0.927396,0,0
537,0,0,0.954627,0,0
538,0,0,0.954163,0,0
539,0,0,0.959215,0,0
540,0,0,0.961328,0,0
541,0,0,0.964902,0,0
542,0,0,0.969873,0,0
543,0,0,0.952489,0,0
544,0,0,0.961397,0,0
545,0,0,0.97827,0,0
546,0,0,0.977533,0,0
547,0,0,0.977001,0,0
548,0,0,0.980884,0,0
549,0,0,0.990784,0,0
550,0,0,1,0,0
551,0,0,0.992264,0,0
552,0,0,0.982642,0,0
553,0,0,0.983832,0,0
554,0,0,0.977765,0,0
555,0,0,0.965081,0,0
556,0,0,0.957314,0,0
557,0,0,0.946245,0,0
558,0,0,0.947871,0,0
559,0,0,0.959038,0,0
560,0,0,0.966534,0,0
561,0,0,0.977656,0,0
562,0,0,0.966447,0,0
563,0,0,0.953399,0,0
564,0,0,0.958314,0,0
565,0,0,0.970039,0,0
566,0,0,0.978607,0,0
567,0,0,0.983397,0,0
568,0,0,0.98096,0,0
569,0,0,0.974522,0,0
570,0,0,0.967229,0,0
571,0,0,0.979406,0,0
572,0,0,0.978208,0,0
573,0,0,0.975818,0,0
574,0,0,0.974392,0,0
575,0,0,0.979973,0,0
576,0,0,0.968827,0,0
577,0,0,0.969181,0,0
578,0,0,0.967838,0,0
579,0,0,0.982956,0,0
580,0,0,0.979598,0,0
581,0,0,0.963811,0,0
582,0,0,0.968886,0,0
583,0,0,0.983655,0,0
584,0,0,0.986657,0,0
585,0,0,0.974207,0,0
586,0,0,0.946407,0,0
587,0,0,0.904478,0,0
588,0,0,0.809275,0,0
589,0,0,0.684974,0,0
590,0,0,0.525304,0,0
591,0,0,0.345364,0,0
592,0,0,0.190467,0,0
593,0,0,0.087833,0,0
594,0,0,0.035393,0,0
595,0,0,0.014077,0,0
596,0,0,0.005944,0,0
597,0,0,0.002574,0,0
598,0,0,0.001046,0,0
599,0,0,0.000394,0,0
600,0,0,8.5E-05,0,0
601,0,0,-8.4E-05,0,0
602,0,0,-0.000194,0,0
603,0,0,-0.000234,0,0
604,0,0,-0.000292,0,0
605,0,0,-0.000307,0,0
606,0,0,-0.000343,0,0
607,0,0,-0.000348,0,0
608,0,0,-0.000329,0,0
609,0,0,-0.000351,0,0
610,0,0,-0.000317,0,0
611,0,0,0,0,0
612,0,0,0,0,0
613,0,0,0,0,0
614,0,0,0,0,0
615,0,0,0,0,0
616,0,0,0,0,0
617,0,0,0,0,0
618,0,0,0,0,0
619,0,0,0,0,0
620,0,0,0,0,0
621,0,0,0,0,0
622,0,0,0,0,0
623,0,0,0,0,0
624,0,0,0,0,0
625,0,0,0,-0.000342,0
626,0,0,0,0.00027,0
627,0,0,0,0.000895,0
628,0,0,0,0.00185,0
629,0,0,0,0.003648,0
630,0,0,0,0.007197,0
631,0,0,0,0.014515,0
632,0,0,0,0.030432,0
633,0,0,0,0.066861,0
634,0,0,0,0.148518,0
635,0,0,0,0.299778,0
636,0,0,0,0.526812,0
637,0,0,0,0.764443,0
638,0,0,0,0.905473,0
639,0,0,0,0.947949,0
640,0,0,0,0.950823,0
641,0,0,0,0.947418,0
642,0,0,0,0.951831,0
643,0,0,0,0.962705,0
644,0,0,0,0.975075,0
645,0,0,0,0.984173,0
646,0,0,0,0.983613,0
647,0,0,0,0.983434,0
648,0,0,0,0.982911,0
649,0,0,0,0.973636,0
650,0,0,0,0.959441,0
651,0,0,0,0.955641,0
652,0,0,0,0.955548,0
653,0,0,0,0.953337,0
654,0,0,0,0.956628,0
655,0,0,0,0.981688,0
656,0,0,0,1,0
657,0,0,0,0.992388,0
658,0,0,0,0.984615,0
659,0,0,0,0.981568,0
660,0,0,0,0.97696,0
661,0,0,0,0.97298,0
662,0,0,0,0.98108,0
663,0,0,0,0.996804,0
664,0,0,0,0.992142,0
665,0,0,0,0.980678,0
666,0,0,0,0.964002,0
667,0,0,0,0.962154,0
668,0,0,0,0.970778,0
669,0,0,0,0.96718,0
670,0,0,0,0.966928,0
671,0,0,0,0.949928,0
672,0,0,0,0.848855,0
673,0,0,0,0.609359,0
674,0,0,0,0.31635,0
675,0,0,0,0.123946,0
676,0,0,0,0.046033,0
677,0,0,0,0.017702,0
678,0,0,0,0.007333,0
679,0,0,0,0.003205,0
680,0,0,0,0.001402,0
681,0,0,0,0.000554,0
682,0,0,0,0.000117,0
683,0,0,0,-0.000122,0
684,0,0,0,-0.000289,0
685,0,0,0,-0.000376,0
686,0,0,0,-0.000396,0
687,0,0,0,-0.000458,0
688,0,0,0,-0.000488,0
689,0,0,0,-0.000457,0
690,0,0,0,-0.000429,0
691,0,0,0,-0.000417,0
692,0,0,0,0,0
693,0,0,0,0,0
694,0,0,0,0,0
695,0,0,0,0,0
696,0,0,0,0,0
697,0,0,0,0,0
698,0,0,0,0,0
699,0,0,0,0,0
700,0,0,0,0,0
701,0,0,0,0,0
702,0,0,0,0,0
703,0,0,0,0,0
704,0,0,0,0,0
705,0,0,0,0,0
706,0,0,0,0,0
707,0,0,0,0,0
708,0,0,0,0,0
709,0,0,0,0,0
710,0,0,0,0,0
711,0,0,0,0,0
712,0,0,0,0,0
713,0,0,0,0,0
714,0,0,0,0,0
715,0,0,0,0,0
716,0,0,0,0,0
717,0,0,0,0,0
718,0,0,0,0,0
719,0,0,0,0,0
720,0,0,0,0,0
721,0,0,0,0,0
722,0,0,0,0,0
723,0,0,0,0,0
724,0,0,0,0,0
725,0,0,0,0,0
726,0,0,0,0,0
727,0,0,0,0,0
728,0,0,0,0,0
729,0,0,0,0,0
730,0,0,0,0,0
731,0,0,0,0,0
732,0,0,0,0,0
733,0,0,0,0,0
734,0,0,0,0,0
735,0,0,0,0,0
736,0,0,0,0,0
737,0,0,0,0,0
738,0,0,0,0,0
739,0,0,0,0,0
740,0,0,0,0,0
741,0,0,0,0,0
742,0,0,0,0,0
743,0,0,0,0,0
744,0,0,0,0,0
745,0,0,0,0,0
746,0,0,0,0,0
747,0,0,0,0,0
748,0,0,0,0,0
749,0,0,0,0,0
750,0,0,0,0,0
751,0,0,0,0,0
752,0,0,0,0,0
753,0,0,0,0,0
754,0,0,0,0,0
755,0,0,0,0,0
756,0,0,0,0,0
757,0,0,0,0,0
758,0,0,0,0,0
759,0,0,0,0,0
760,0,0,0,0,0
761,0,0,0,0,0
762,0,0,0,0,0
763,0,0,0,0,0
764,0,0,0,0,0
765,0,0,0,0,0
766,0,0,0,0,0
767,0,0,0,0,0
768,0,0,0,0,0
769,0,0,0,0,0
770,0,0,0,0,0
771,0,0,0,0,0
772,0,0,0,0,0
773,0,0,0,0,0
774,0,0,0,0,0
775,0,0,0,0,0
776,0,0,0,0,0
777,0,0,0,0,0
778,0,0,0,0,0
779,0,0,0,0,0
780,0,0,0,0,0
781,0,0,0,0,0
782,0,0,0,0,0
783,0,0,0,0,0
784,0,0,0,0,0
785,0,0,0,0,0
786,0,0,0,0,0
787,0,0,0,0,0
788,0,0,0,0,0
789,0,0,0,0,0
790,0,0,0,0,0
791,0,0,0,0,0
792,0,0,0,0,0
793,0,0,0,0,0
794,0,0,0,0,0
795,0,0,0,0,0
796,0,0,0,0,0
797,0,0,0,0,0
798,0,0,0,0,0
799,0,0,0,0,0
800,0,0,0,0,0
801,0,0,0,0,0
802,0,0,0,0,0
803,0,0,0,0,0
804,0,0,0,0,0
805,0,0,0,0,0
806,0,0,0,0,0
807,0,0,0,0,0
808,0,0,0,0,0
809,0,0,0,0,0
810,0,0,0,0,0
811,0,0,0,0,0
812,0,0,0,0,0
813,0,0,0,0,0
814,0,0,0,0,0
815,0,0,0,0,0
816,0,0,0,0,0
817,0,0,0,0,0
818,0,0,0,0,0
819,0,0,0,0,0
820,0,0,0,0,0
821,0,0,0,0,0
822,0,0,0,0,0
823,0,0,0,0,0
824,0,0,0,0,0
825,0,0,0,0,0
826,0,0,0,0,0
827,0,0,0,0,0
828,0,0,0,0,0
829,0,0,0,0,-3.4E-05
830,0,0,0,0,1.1E-05
831,0,0,0,0,5E-05
832,0,0,0,0,0.0001
833,0,0,0,0,0.000239
834,0,0,0,0,0.000314
835,0,0,0,0,0.000495
836,0,0,0,0,0.000719
837,0,0,0,0,0.000986
838,0,0,0,0,0.001445
839,0,0,0,0,0.002107
840,0,0,0,0,0.00316
841,0,0,0,0,0.004744
842,0,0,0,0,0.007059
843,0,0,0,0,0.0109
844,0,0,0,0,0.017346
845,0,0,0,0,0.028332
846,0,0,0,0,0.048191
847,0,0,0,0,0.084363
848,0,0,0,0,0.145365
849,0,0,0,0,0.249733
850,0,0,0,0,0.403526
851,0,0,0,0,0.582623
852,0,0,0,0,0.745037
853,0,0,0,0,0.890315
854,0,0,0,0,0.960215
855,0,0,0,0,0.986833
856,0,0,0,0,0.973133
857,0,0,0,0,0.980606
858,0,0,0,0,0.99612
859,0,0,0,0,1
860,0,0,0,0,0.989777
861,0,0,0,0,0.980733
862,0,0,0,0,0.975935
863,0,0,0,0,0.972043
864,0,0,0,0,0.957357
865,0,0,0,0,0.951209
866,0,0,0,0,0.947044
867,0,0,0,0,0.953162
868,0,0,0,0,0.951499
869,0,0,0,0,0.94845
870,0,0,0,0,0.940094
871,0,0,0,0,0.950632
872,0,0,0,0,0.956079
873,0,0,0,0,0.96646
874,0,0,0,0,0.969821
875,0,0,0,0,0.93661
876,0,0,0,0,0.891066
877,0,0,0,0,0.788733
878,0,0,0,0,0.63532
879,0,0,0,0,0.448364
880,0,0,0,0,0.288847
881,0,0,0,0,0.174619
882,0,0,0,0,0.100343
883,0,0,0,0,0.058265
884,0,0,0,0,0.034532
885,0,0,0,0,0.02072
886,0,0,0,0,0.01244
887,0,0,0,0,0.007601
888,0,0,0,0,0.004702
889,0,0,0,0,0.002944
890,0,0,0,0,0.00187
891,0,0,0,0,0.001192
892,0,0,0,0,0.000743
893,0,0,0,0,0.000423
894,0,0,0,0,0.000241
895,0,0,0,0,0.000116
896,0,0,0,0,4.4E-05
897,0,0,0,0,-1.3E-05
898,0,0,0,0,-5E-05
899,0,0,0,0,-8.4E-05
900,0,0,0,0,-0.0001
901,0,0,0,0,0
902,0,0,0,0,0
903,0,0,0,0,0
904,0,0,0,0,0
905,0,0,0,0,0
906,0,0,0,0,0
907,0,0,0,0,0
908,0,0,0,0,0
909,0,0,0,0,0
910,0,0,0,0,0
911,0,0,0,0,0
912,0,0,0,0,0
913,0,0,0,0,0
914,0,0,0,0,0
915,0,0,0,0,0
916,0,0,0,0,0
917,0,0,0,0,0
918,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
921,0,0,0,0,0
922,0,0,0,0,0
923,0,0,0,0,0
924,0,0,0,0,0
925,0,0,0,0,0
926,0,0,0,0,0
927,0,0,0,0,0
928,0,0,0,0,0
929,0,0,0,0,0
930,0,0,0,0,0
931,0,0,0,0,0
932,0,0,0,0,0
933,0,0,0,0,0
934,0,0,0,0,0
935,0,0,0,0,0
936,0,0,0,0,0
937,0,0,0,0,0
938,0,0,0,0,0
939,0,0,0,0,0
940,0,0,0,0,0
941,0,0,0,0,0
942,0,0,0,0,0
943,0,0,0,0,0
944,0,0,0,0,0
945,0,0,0,0,0
946,0,0,0,0,0
947,0,0,0,0,0
948,0,0,0,0,0
949,0,0,0,0,0
950,0,0,0,0,0
